% Model:              antena_microStript_AITOR.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 19 2023, 10:17
% Dimension:          3
% Nodes:              1000
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        mm
% x                       y                        z                        emw.Ex (V/m) @ freq=1.575
30                        -10                      49.99999999999998        0.8792413523560776-1.4438642132879878i
49.99999999999998         -10                      49.99999999999998        0.7041037936611184-1.64278948255481i
69.99999999999999         -10                      49.99999999999998        0.24019921975041472+0.12030616884163081i
89.99999999999997         -10                      49.99999999999998        NaN
-89.99999999999997        10                       49.99999999999998        NaN
-69.99999999999999        10                       49.99999999999998        0.04612589613573048+0.2608044212829005i
-49.99999999999998        10                       49.99999999999998        0.2001657378078985-1.0530754433486786i
-30                       10                       49.99999999999998        0.5985084951910085-0.5686953770178169i
-10                       10                       49.99999999999998        0.14739997636288127-0.2493071549958188i
10                        10                       49.99999999999998        -0.45613783010858944+0.293185057132872i
30                        10                       49.99999999999998        -0.8131337475919516+0.6006117020522014i
49.99999999999998         10                       49.99999999999998        -0.4586391991678524+1.0660544122689681i
69.99999999999999         10                       49.99999999999998        -0.12054905421112924-0.16482345979967308i
89.99999999999997         10                       49.99999999999998        NaN
-89.99999999999997        30                       49.99999999999998        NaN
-69.99999999999999        30                       49.99999999999998        0.04406284316340514-0.2093108699846541i
-49.99999999999998        30                       49.99999999999998        2.3795269762487665-1.7233022002937062i
-30                       30                       49.99999999999998        1.620714155048107-1.7403811531600535i
-10                       30                       49.99999999999998        0.3925560239627992-1.00050086510756i
10                        30                       49.99999999999998        -0.8761663780865033+0.6961753676409629i
30                        30                       49.99999999999998        -2.2161522460147793+1.577861329716281i
49.99999999999998         30                       49.99999999999998        -2.9247104055219264+1.1504462266848208i
69.99999999999999         30                       49.99999999999998        -0.03934848616100292+0.3946177405837298i
89.99999999999997         30                       49.99999999999998        NaN
-89.99999999999997        49.99999999999998        49.99999999999998        NaN
-69.99999999999999        49.99999999999998        49.99999999999998        -0.017966952369962208+0.11153207846070753i
-49.99999999999998        49.99999999999998        49.99999999999998        -0.17273831045847465-0.477268259737598i
-30                       49.99999999999998        49.99999999999998        1.6043090694977824-1.8130483639114132i
-10                       49.99999999999998        49.99999999999998        -0.25669680288704766-1.4154772559678994i
10                        49.99999999999998        49.99999999999998        -0.8828557879257144+0.9061102182503491i
30                        49.99999999999998        49.99999999999998        -1.6773011216277975+2.376325150448694i
49.99999999999998         49.99999999999998        49.99999999999998        -0.0655335953577438+0.4282114333003868i
69.99999999999999         49.99999999999998        49.99999999999998        -0.017682509322832603-0.08121630568262203i
89.99999999999997         49.99999999999998        49.99999999999998        NaN
